Case_ID;LLM;Q_ID;IF;F;EAR;N;S;
1;Gemma;D1;5;5;5;5;5;
1;Gemma;D2;3;4;2;4;3;
1;Gemma;D3;5;5;2;5;5;
1;Gemma;D4;4;5;5;5;5;
1;Qwen;D1;3;4;5;4;5;
1;Qwen;D2;4;5;2;2;5;
1;Qwen;D3;5;5;4;5;5;
1;Qwen;D4;5;5;5;5;5;
2;Gemma;D1;4;5;3;5;4;
2;Gemma;D2;5;5;3;5;5;
2;Gemma;D3;5;5;3;5;5;
2;Gemma;D4;5;1;5;5;1;
2;Qwen;D1;4;5;3;5;5;
2;Qwen;D2;4;5;3;3;4;
2;Qwen;D3;4;5;4;4;4;
2;Qwen;D4;5;4;5;5;5;
3;Gemma;D1;5;4;5;4;5;
3;Gemma;D2;5;4;4;5;5;
3;Gemma;D3;5;5;5;5;5;
3;Gemma;D4;5;3;5;5;5;
3;Qwen;D1;4;5;3;2;4;
3;Qwen;D2;5;4;5;3;3;
3;Qwen;D3;4;5;4;4;3;
3;Qwen;D4;5;4;5;5;4;
4;Gemma;D1;4;5;2;5;4;
4;Gemma;D2;3;4;1;5;4;
4;Gemma;D3;5;4;1;4;5;
4;Gemma;D4;5;3;5;5;5;
4;Qwen;D1;3;5;5;5;5;
4;Qwen;D2;4;3;5;3;5;
4;Qwen;D3;5;5;5;4;5;
4;Qwen;D4;1;1;5;3;2;
5;Gemma;D1;5;5;5;5;5;
5;Gemma;D2;3;3;4;4;5;
5;Gemma;D3;5;4;3;5;5;
5;Gemma;D4;5;5;4;5;5;
5;Qwen;D1;3;3;4;2;5;
5;Qwen;D2;4;5;4;4;5;
5;Qwen;D3;4;5;4;4;4;
5;Qwen;D4;3;5;5;2;5;
6;Gemma;D1;5;4;5;5;5;
6;Gemma;D2;5;4;4;4;4;
6;Gemma;D3;4;4;3;4;5;
6;Gemma;D4;5;4;5;5;5;
6;Qwen;D1;3;4;5;3;5;
6;Qwen;D2;4;4;5;3;5;
6;Qwen;D3;5;4;4;4;4;
6;Qwen;D4;4;4;5;4;5;
7;Gemma;D1;5;4;5;5;5;
7;Gemma;D2;5;4;5;5;5;
7;Gemma;D3;5;5;5;5;5;
7;Gemma;D4;5;4;5;5;5;
7;Qwen;D1;5;5;4;5;5;
7;Qwen;D2;5;5;5;4;5;
7;Qwen;D3;5;5;4;5;5;
7;Qwen;D4;5;5;5;5;5;
8;Gemma;D1;4;5;5;4;5;
8;Gemma;D2;2;4;5;3;2;
8;Gemma;D3;5;5;5;4;5;
8;Gemma;D4;5;5;3;4;5;
8;Qwen;D1;4;5;4;4;5;
8;Qwen;D2;5;5;3;4;5;
8;Qwen;D3;5;5;5;5;5;
8;Qwen;D4;4;5;5;4;4;
9;Gemma;D1;5;5;5;5;5;
9;Gemma;D2;5;5;5;4;5;
9;Gemma;D3;5;5;4;5;5;
9;Gemma;D4;5;5;4;5;5;
9;Qwen;D1;5;4;5;5;5;
9;Qwen;D2;5;5;5;4;5;
9;Qwen;D3;3;4;5;4;5;
9;Qwen;D4;5;5;5;5;5;
10;Gemma;D1;5;4;3;5;4;
10;Gemma;D2;5;5;3;5;4;
10;Gemma;D3;4;5;3;4;4;
10;Gemma;D4;4;5;3;4;4;
10;Qwen;D1;5;4;5;5;4;
10;Qwen;D2;3;4;4;3;4;
10;Qwen;D3;4;5;4;3;4;
10;Qwen;D4;4;5;4;3;4;
11;Gemma;D1;5;4;2;5;5;
11;Gemma;D2;5;5;2;4;5;
11;Gemma;D3;5;5;2;5;4;
11;Gemma;D4;5;4;2;5;5;
11;Qwen;D1;3;5;5;4;4;
11;Qwen;D2;5;4;3;5;3;
11;Qwen;D3;4;5;4;3;4;
11;Qwen;D4;4;4;4;4;5;
12;Gemma;D1;4;5;5;5;5;
12;Gemma;D2;2;4;5;3;1;
12;Gemma;D3;5;5;3;5;5;
12;Gemma;D4;5;5;5;5;4;
12;Qwen;D1;5;5;5;4;4;
12;Qwen;D2;5;4;5;4;5;
12;Qwen;D3;5;4;5;5;4;
12;Qwen;D4;5;4;5;5;4;
13;Gemma;D1;5;5;2;5;5;
13;Gemma;D2;5;5;2;5;5;
13;Gemma;D3;4;5;2;4;5;
13;Gemma;D4;2;4;5;3;3;
13;Qwen;D1;2;4;5;3;2;
13;Qwen;D2;4;5;5;3;4;
13;Qwen;D3;4;5;4;4;4;
13;Qwen;D4;3;4;5;4;3;
14;Gemma;D1;5;4;5;5;5;
14;Gemma;D2;5;5;5;5;5;
14;Gemma;D3;5;5;4;5;5;
14;Gemma;D4;5;5;5;5;5;
14;Qwen;D1;5;5;4;5;5;
14;Qwen;D2;5;5;5;4;5;
14;Qwen;D3;5;5;3;5;5;
14;Qwen;D4;5;5;5;5;3;
15;Gemma;D1;5;4;2;5;5;
15;Gemma;D2;5;5;2;5;5;
15;Gemma;D3;4;4;2;3;4;
15;Gemma;D4;5;4;4;5;4;
15;Qwen;D1;4;5;5;5;3;
15;Qwen;D2;4;5;4;4;3;
15;Qwen;D3;3;5;4;4;3;
15;Qwen;D4;4;4;5;5;4;
