Case_ID;LLM;Q_ID;IF;F;EAR;N;S;Unnamed: 8
1.0;Qwen;D1;3.0;4.0;5.0;4.0;5.0;
1.0;Qwen;D2;4.0;5.0;2.0;2.0;5.0;
1.0;Qwen;D3;5.0;5.0;4.0;5.0;5.0;
1.0;Qwen;D4;5.0;5.0;5.0;5.0;5.0;
2.0;Qwen;D1;4.0;5.0;3.0;5.0;5.0;
2.0;Qwen;D2;4.0;5.0;3.0;3.0;4.0;
2.0;Qwen;D3;4.0;5.0;4.0;4.0;4.0;
2.0;Qwen;D4;5.0;4.0;5.0;5.0;5.0;
3.0;Qwen;D1;4.0;5.0;3.0;2.0;4.0;
3.0;Qwen;D2;5.0;4.0;5.0;3.0;3.0;
3.0;Qwen;D3;4.0;5.0;4.0;4.0;3.0;
3.0;Qwen;D4;5.0;4.0;5.0;5.0;4.0;
4.0;Qwen;D1;3.0;5.0;5.0;5.0;5.0;
4.0;Qwen;D2;4.0;3.0;5.0;3.0;5.0;
4.0;Qwen;D3;5.0;5.0;5.0;4.0;5.0;
4.0;Qwen;D4;1.0;1.0;5.0;3.0;2.0;
5.0;Qwen;D1;3.0;3.0;4.0;2.0;5.0;
5.0;Qwen;D2;4.0;5.0;4.0;4.0;5.0;
5.0;Qwen;D3;4.0;5.0;4.0;4.0;4.0;
5.0;Qwen;D4;3.0;5.0;5.0;2.0;5.0;
6.0;Qwen;D1;3.0;4.0;5.0;3.0;5.0;
6.0;Qwen;D2;4.0;4.0;5.0;3.0;5.0;
6.0;Qwen;D3;5.0;4.0;4.0;4.0;4.0;
6.0;Qwen;D4;4.0;4.0;5.0;4.0;5.0;
7.0;Qwen;D1;5.0;5.0;4.0;5.0;5.0;
7.0;Qwen;D2;5.0;5.0;5.0;4.0;5.0;
7.0;Qwen;D3;5.0;5.0;4.0;5.0;5.0;
7.0;Qwen;D4;5.0;5.0;5.0;5.0;5.0;
8.0;Qwen;D1;4.0;5.0;4.0;4.0;5.0;
8.0;Qwen;D2;5.0;5.0;3.0;4.0;5.0;
8.0;Qwen;D3;5.0;5.0;5.0;5.0;5.0;
8.0;Qwen;D4;4.0;5.0;5.0;4.0;4.0;
9.0;Qwen;D1;5.0;4.0;5.0;5.0;5.0;
9.0;Qwen;D2;5.0;5.0;5.0;4.0;5.0;
9.0;Qwen;D3;3.0;4.0;5.0;4.0;5.0;
9.0;Qwen;D4;5.0;5.0;5.0;5.0;5.0;
10.0;Qwen;D1;5.0;4.0;5.0;5.0;4.0;
10.0;Qwen;D2;3.0;4.0;4.0;3.0;4.0;
10.0;Qwen;D3;4.0;5.0;4.0;3.0;4.0;
10.0;Qwen;D4;4.0;5.0;4.0;3.0;4.0;
11.0;Qwen;D1;3.0;5.0;5.0;4.0;4.0;
11.0;Qwen;D2;5.0;4.0;3.0;5.0;3.0;
11.0;Qwen;D3;4.0;5.0;4.0;3.0;4.0;
11.0;Qwen;D4;4.0;4.0;4.0;4.0;5.0;
12.0;Qwen;D1;5.0;5.0;5.0;4.0;4.0;
12.0;Qwen;D2;5.0;4.0;5.0;4.0;5.0;
12.0;Qwen;D3;5.0;4.0;5.0;5.0;4.0;
12.0;Qwen;D4;5.0;4.0;5.0;5.0;4.0;
13.0;Qwen;D1;2.0;4.0;5.0;3.0;2.0;
13.0;Qwen;D2;4.0;5.0;5.0;3.0;4.0;
13.0;Qwen;D3;4.0;5.0;4.0;4.0;4.0;
13.0;Qwen;D4;3.0;4.0;5.0;4.0;3.0;
14.0;Qwen;D1;5.0;5.0;4.0;5.0;5.0;
14.0;Qwen;D2;5.0;5.0;5.0;4.0;5.0;
14.0;Qwen;D3;5.0;5.0;3.0;5.0;5.0;
14.0;Qwen;D4;5.0;5.0;5.0;5.0;3.0;
15.0;Qwen;D1;4.0;5.0;5.0;5.0;3.0;
15.0;Qwen;D2;4.0;5.0;4.0;4.0;3.0;
15.0;Qwen;D3;3.0;5.0;4.0;4.0;3.0;
15.0;Qwen;D4;4.0;4.0;5.0;5.0;4.0;
